Latitude,Longitude,TMP,State
   25.063000,  -81.188000,       67.316,Florida
   25.063000,  -81.063000,       67.190,Florida
   25.063000,  -80.938000,       66.650,Florida
   25.063000,  -80.813000,       66.236,Florida
   25.063000,  -80.688000,       66.812,Florida
   25.063000,  -80.563000,       67.784,Florida
   25.063000,  -80.438000,       67.856,Florida
   25.188000,  -81.188000,       67.118,Florida
   25.188000,  -81.063000,       66.704,Florida
   25.188000,  -80.938000,       65.552,Florida
   25.188000,  -80.813000,       63.986,Florida
   25.188000,  -80.688000,       65.138,Florida
   25.188000,  -80.563000,       66.272,Florida
   25.188000,  -80.438000,       66.704,Florida
   25.188000,  -80.313000,       67.136,Florida
   25.313000,  -81.188000,       66.884,Florida
   25.313000,  -81.063000,       66.578,Florida
   25.313000,  -80.938000,       64.958,Florida
   25.313000,  -80.813000,       63.842,Florida
   25.313000,  -80.688000,       64.094,Florida
   25.313000,  -80.563000,       64.652,Florida
   25.313000,  -80.438000,       64.814,Florida
   25.313000,  -80.313000,       65.876,Florida
   25.313000,  -80.188000,       67.442,Florida
   25.438000,  -81.313000,       65.624,Florida
   25.438000,  -81.188000,       65.156,Florida
   25.438000,  -81.063000,       64.760,Florida
   25.438000,  -80.938000,       64.004,Florida
   25.438000,  -80.813000,       63.554,Florida
   25.438000,  -80.688000,       63.590,Florida
   25.438000,  -80.563000,       63.770,Florida
   25.438000,  -80.438000,       64.436,Florida
   25.438000,  -80.313000,       65.858,Florida
   25.438000,  -80.188000,       67.046,Florida
   25.563000, -105.313000,       52.448,Texas
   25.563000, -105.188000,       54.230,Texas
   25.563000, -105.063000,       54.122,Texas
   25.563000, -104.938000,       54.770,Texas
   25.563000, -104.813000,       52.124,Texas
   25.563000, -104.688000,       49.532,Texas
   25.563000, -104.563000,       50.882,Texas
   25.563000, -104.438000,       50.882,Texas
   25.563000, -104.313000,       52.988,Texas
   25.563000, -104.188000,       52.412,Texas
   25.563000, -104.063000,       50.252,Texas
   25.563000, -103.938000,       49.388,Texas
   25.563000, -103.813000,       54.104,Texas
   25.563000, -103.688000,       56.138,Texas
   25.563000, -103.563000,       56.804,Texas
   25.563000, -103.438000,       57.776,Texas
   25.563000, -103.313000,       58.388,Texas
   25.563000, -103.188000,       57.740,Texas
   25.563000, -103.063000,       57.380,Texas
   25.563000, -102.938000,       57.542,Texas
   25.563000, -102.813000,       55.562,Texas
   25.563000, -102.688000,       56.588,Texas
