latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,State
26.481,-80.646,344.9,1.6,1.2,2001-01-01,1601,T,93,5.1,291.2,120.6,Florida
26.479,-80.63,327.8,1.6,1.2,2001-01-01,1601,T,81,5.1,291.6,64.7,Florida
29.295,-91.205,349.3,1.1,1.1,2001-01-02,438,T,100,5.1,270.5,98.4,Louisiana
38.018,-77.88,321.8,1.5,1.2,2001-01-02,1641,T,74,5.1,274.4,65.5,Maryland
35.086,-79.654,311.6,1.4,1.2,2001-01-02,1641,T,50,5.1,276.6,37.1,North Carolina
32.775,-82.831,342.9,1.1,1,2001-01-02,1642,T,91,5.1,280.7,74.4,Georgia
32.395,-81.646,333,1.2,1.1,2001-01-02,1642,T,85,5.1,279,61.5,Georgia
32.392,-81.639,320.4,1.2,1.1,2001-01-02,1642,T,73,5.1,278.7,40.1,Georgia
31.818,-84.573,313.5,1,1,2001-01-02,1643,T,58,5.1,277.2,23.8,Alabama
31.254,-84.509,310.4,1,1,2001-01-02,1643,T,38,5.1,278.5,20.8,Georgia
30.661,-84.201,325,1,1,2001-01-02,1643,T,78,5.1,278.7,38.5,Florida
30.487,-85.743,313.3,1,1,2001-01-02,1643,T,57,5.1,277.1,23.8,Alabama
30.486,-85.733,342.4,1,1,2001-01-02,1643,T,91,5.1,278.6,65.4,Alabama
29.985,-91.776,320.5,1.8,1.3,2001-01-02,1643,T,73,5.1,270.7,79.5,Louisiana
26.85,-80.501,311.5,1.8,1.3,2001-01-02,1644,T,49,5.1,289.5,31.9,Florida
26.847,-80.483,313.2,1.8,1.3,2001-01-02,1644,T,57,5.1,291.1,36.2,Florida
26.872,-81.118,343.6,1.6,1.3,2001-01-02,1644,T,92,5.1,290.5,122.8,Florida
26.869,-81.102,331.5,1.6,1.3,2001-01-02,1644,T,84,5.1,289.8,80,Florida
26.861,-81.121,311.4,1.6,1.3,2001-01-02,1644,T,49,5.1,288.6,30.4,Florida
43.796,-103.25,321,1.1,1.1,2001-01-02,1818,T,73,5.1,280.3,38.1,South Dakota
43.794,-103.236,316.7,1.1,1.1,2001-01-02,1818,T,66,5.1,279.4,31.8,South Dakota
37.701,-109.307,312.9,1,1,2001-01-02,1820,T,56,5.1,280,22.4,Utah
33.413,-110.863,317.4,1,1,2001-01-02,1821,T,68,5.1,290.6,22.1,Arizona
33.006,-105.662,309.9,1,1,2001-01-03,522,T,68,5.1,265.3,25.6,New Mexico
33.015,-105.664,319.7,1,1,2001-01-03,522,T,99,5.1,266.3,35.8,New Mexico
33.013,-105.674,319.2,1,1,2001-01-03,522,T,98,5.1,265.8,35.1,New Mexico
33.022,-105.676,321.1,1,1,2001-01-03,522,T,100,5.1,266.4,37.2,New Mexico
33.031,-105.678,325.6,1,1,2001-01-03,522,T,100,5.1,266.6,43.5,New Mexico
33.04,-105.68,330.6,1,1,2001-01-03,522,T,23,5.1,266.7,46.6,New Mexico
33.413,-110.859,310.3,1.6,1.2,2001-01-03,523,T,70,5.1,276.2,43.9,Arizona
33.41,-110.875,308.8,1.6,1.2,2001-01-03,523,T,63,5.1,276.7,40.8,Arizona
33.414,-110.865,321,1.6,1.2,2001-01-03,523,T,100,5.1,276.6,65.1,Arizona
35.276,-76.792,310.8,1.8,1.3,2001-01-03,1546,T,43,5.1,275.7,49.2,North Carolina
26.81,-80.628,315.9,2.6,1.6,2001-01-03,1549,T,49,5.1,288.4,78.1,Florida
26.819,-80.634,319.3,2.6,1.6,2001-01-03,1549,T,67,5.1,288.5,93.8,Florida
26.766,-80.509,327.9,2.5,1.5,2001-01-03,1549,T,81,5.1,289.7,130.5,Florida
26.763,-80.484,343.8,2.5,1.5,2001-01-03,1549,T,92,5.1,290.2,230.4,Florida
26.637,-81.452,328.6,3,1.6,2001-01-03,1549,T,82,5.1,287.6,174.9,Florida
26.636,-81.458,321.5,3,1.6,2001-01-03,1549,T,74,5.1,287.2,128.2,Florida
31.81,-88.623,311.8,2.1,1.4,2001-01-03,1725,T,48,5.1,268.4,74.4,Louisiana
32.099,-97.403,328.7,1,1,2001-01-03,1726,T,82,5.1,281.5,43.8,Texas
32.158,-100.264,311,1.4,1.2,2001-01-03,1726,T,45,5.1,281.2,31.6,Texas
36.77,-118.86,341.8,1,1,2001-01-03,1903,T,91,5.1,289.5,61.8,California
34.095,-117.533,310,1.1,1.1,2001-01-03,1904,T,22,5.1,298.8,7.1,California
32.832,-116.676,336.3,1.3,1.1,2001-01-03,1904,T,86,5.1,302.1,58.3,California
32.83,-116.663,350.7,1.3,1.1,2001-01-03,1904,T,95,5.1,300.2,99.8,California
32.829,-116.718,353.8,1.3,1.1,2001-01-03,1904,T,97,5.1,297.1,109.6,California
32.827,-116.705,351.2,1.3,1.1,2001-01-03,1904,T,96,5.1,301.1,100.5,California
32.822,-116.679,415.3,1.3,1.1,2001-01-03,1904,T,100,5.1,316.8,503.2,California
32.82,-116.666,454.3,1.3,1.1,2001-01-03,1904,T,100,5.1,325.3,"1,082.7",California
32.821,-116.733,312.4,1.3,1.1,2001-01-03,1904,T,54,5.1,292.9,19.6,California
32.819,-116.72,341,1.3,1.1,2001-01-03,1904,T,90,5.1,299.9,72.4,California
32.817,-116.707,331.8,1.3,1.1,2001-01-03,1904,T,41,5.1,299.7,46.2,California
32.812,-116.682,357.1,1.3,1.1,2001-01-03,1904,T,98,5.1,302.4,116.2,California
32.81,-116.669,341.9,1.3,1.1,2001-01-03,1904,T,91,5.1,295.7,69.1,California
32.537,-115.202,310.5,1.6,1.2,2001-01-03,1904,T,39,5.1,295.3,18.8,California
32.82,-116.726,335.9,1.3,1.1,2001-01-03,1904,T,80,5.1,297.6,58.6,California
32.817,-116.713,333,1.3,1.1,2001-01-03,1904,T,54,5.1,300.2,49.3,California
32.815,-116.7,328.7,1.3,1.1,2001-01-03,1904,T,39,5.1,298.4,37.4,California
32.813,-116.687,345.1,1.3,1.1,2001-01-03,1904,T,93,5.1,301.8,77.3,California
32.811,-116.674,354.6,1.3,1.1,2001-01-03,1904,T,97,5.1,300.7,105.8,California
32.81,-116.728,337,1.3,1.1,2001-01-03,1904,T,77,5.1,294.7,58.5,California
32.808,-116.715,344.1,1.3,1.1,2001-01-03,1904,T,86,5.1,303,72.5,California
32.805,-116.703,429.2,1.3,1.1,2001-01-03,1904,T,100,5.1,328.3,666.6,California
32.803,-116.689,500,1.3,1.1,2001-01-03,1904,T,100,5.1,348.5,"2,373.7",California
32.801,-116.676,337.2,1.3,1.1,2001-01-03,1904,T,87,5.1,299.6,56.7,California
32.802,-116.743,340.5,1.3,1.1,2001-01-03,1904,T,90,5.1,293.5,70.7,California
32.8,-116.73,366,1.3,1.1,2001-01-03,1904,T,100,5.1,298.4,155.7,California
32.798,-116.717,388,1.3,1.1,2001-01-03,1904,T,100,5.1,304.6,271.9,California
32.795,-116.704,455.1,1.3,1.1,2001-01-03,1904,T,100,5.1,316,"1,091.1",California
32.793,-116.691,457.8,1.3,1.1,2001-01-03,1904,T,100,5.1,310.3,"1,151.4",California
32.789,-116.665,313,1.3,1.1,2001-01-03,1904,T,36,5.1,294.4,15.4,California
32.79,-116.732,315.5,1.3,1.1,2001-01-03,1904,T,64,5.1,292.3,20.7,California
32.788,-116.719,314.7,1.3,1.1,2001-01-03,1904,T,62,5.1,294,18.7,California
32.177,-116.654,320.7,1.3,1.1,2001-01-03,1904,T,73,5.1,298.3,29,NaN
31.856,-116.478,316.1,1.4,1.2,2001-01-03,1904,T,61,5.1,299.7,21.6,NaN
31.098,-116.044,322.2,1.5,1.2,2001-01-03,1905,T,75,5.1,301.6,35.3,NaN
30.846,-115.99,313.1,1.5,1.2,2001-01-03,1905,T,57,5.1,302.9,14.7,NaN
29.891,-93.975,307.8,1.2,1.1,2001-01-04,426,T,57,5.1,272.3,29.3,Louisiana
32.759,-116.798,309,1,1,2001-01-04,605,T,64,5.1,286.3,16.3,California
32.768,-116.8,345.4,1,1,2001-01-04,605,T,100,5.1,295,67.6,California
32.766,-116.81,406.5,1,1,2001-01-04,605,T,100,5.1,306.5,305.9,California
32.765,-116.821,314.5,1,1,2001-01-04,605,T,85,5.1,289.1,21.2,California
32.793,-116.691,309,1,1,2001-01-04,605,T,64,5.1,285.6,18.6,California
32.778,-116.797,337.5,1,1,2001-01-04,605,T,100,5.1,289.2,54.7,California
32.776,-116.808,380.4,1,1,2001-01-04,605,T,100,5.1,298.3,173.5,California
32.774,-116.819,322.3,1,1,2001-01-04,605,T,100,5.1,287.7,32.5,California
32.804,-116.683,311.3,1,1,2001-01-04,605,T,75,5.1,284.6,20.2,California
32.802,-116.693,311.9,1,1,2001-01-04,605,T,77,5.1,284.3,20.5,California
32.794,-116.746,339.6,1,1,2001-01-04,605,T,100,5.1,284.5,58.5,California
32.793,-116.757,365.1,1,1,2001-01-04,605,T,100,5.1,287.4,119.2,California
36.803,-79.348,346.9,1,1,2001-01-04,1629,T,71,5.1,273.1,76.1,Virginia
36.15,-78.199,311,1.1,1.1,2001-01-04,1629,T,46,5.1,277.6,25.2,North Carolina
35.096,-79.331,320.1,1.1,1,2001-01-04,1629,T,72,5.1,279.9,33.5,North Carolina
35.021,-79.613,315.7,1,1,2001-01-04,1629,T,64,5.1,279.4,26,North Carolina
35.012,-79.615,317.3,1,1,2001-01-04,1629,T,68,5.1,279,28.2,North Carolina
34.601,-78.487,339.1,1.1,1.1,2001-01-04,1629,T,89,5.1,280.6,72.3,North Carolina
34.599,-78.475,317.1,1.1,1.1,2001-01-04,1629,T,67,5.1,277.3,33.9,North Carolina
34.596,-78.482,333.6,1.1,1.1,2001-01-04,1629,T,86,5.1,280,61.6,North Carolina
34.952,-81.99,321,1,1,2001-01-04,1629,T,73,5.1,280.9,30.2,Georgia
34.95,-81.979,323.2,1,1,2001-01-04,1629,T,76,5.1,280.7,33.1,Georgia
34.521,-79.962,311.2,1,1,2001-01-04,1629,T,28,5.1,279.6,19.9,North Carolina
34.513,-79.975,315.5,1,1,2001-01-04,1629,T,42,5.1,279.7,24.3,North Carolina
34.512,-79.964,379.9,1,1,2001-01-04,1629,T,100,5.1,286.8,178.2,North Carolina
34.51,-79.953,316.5,1,1,2001-01-04,1629,T,50,5.1,278,25.7,North Carolina
33.153,-82.965,312.3,1,1,2001-01-04,1630,T,54,5.1,279.7,23.3,Georgia
32.371,-82.378,321.5,1,1,2001-01-04,1630,T,74,5.1,280.6,32.3,Georgia
31.959,-82.075,310.9,1,1,2001-01-04,1630,T,44,5.1,280,19.9,Georgia
